 time                    	t_db                     	RH                       	Rad                      	load                     	
  +6.3180000000000000E+03	  +1.6950000762939453E+01	  +9.4500000000000000E+01	  +0.0000000000000000E+00	  -1.2786121731559929E+03	
  +6.3190000000000000E+03	  +1.7312500000000000E+01	  +9.2000000000000000E+01	  +4.0319998168945312E+02	  +1.5339476479715281E+03	
  +6.3200000000000000E+03	  +1.9400001525878906E+01	  +8.6500000000000000E+01	  +1.1807999267578125E+03	  +5.6879868431429695E+03	
  +6.3210000000000000E+03	  +2.1165626525878906E+01	  +8.1000000000000000E+01	  +1.9620000000000000E+03	  +1.2701499985894689E+04	
  +6.3220000000000000E+03	  +2.2821874618530273E+01	  +7.5000000000000000E+01	  +2.6100000000000000E+03	  +1.4348292489118046E+04	
  +6.3230000000000000E+03	  +2.4284374237060547E+01	  +6.9500000000000000E+01	  +3.0491999511718750E+03	  +1.4415241880717782E+04	
  +6.3240000000000000E+03	  +2.5490625381469727E+01	  +6.5500000000000000E+01	  +3.2400000000000000E+03	  +1.3596960225115901E+04	
  +6.3250000000000000E+03	  +2.6356250762939453E+01	  +6.2500000000000000E+01	  +3.0851999511718750E+03	  +1.4455825177534833E+04	
  +6.3260000000000000E+03	  +2.6795536041259766E+01	  +6.0500000000000000E+01	  +2.7395998535156250E+03	  +1.6293140798762910E+04	
  +6.3270000000000000E+03	  +2.6858442306518555E+01	  +6.0500000000000000E+01	  +2.1635998535156250E+03	  +1.7224151409160346E+04	
  +6.3280000000000000E+03	  +2.6487274169921875E+01	  +6.2000000000000000E+01	  +1.5011999511718750E+03	  +1.6870233677688117E+04	
  +6.3290000000000000E+03	  +2.5520357131958008E+01	  +6.5000000000000000E+01	  +4.9679998779296875E+02	  +1.2010547675082453E+04	
  +6.3300000000000000E+03	  +2.4207143783569336E+01	  +6.9500000000000000E+01	  +7.5599998474121094E+01	  +7.9440765197671735E+03	
  +6.3310000000000000E+03	  +2.3288888931274414E+01	  +7.3500000000000000E+01	  +0.0000000000000000E+00	  +2.3742137787329953E+03	
  +6.3320000000000000E+03	  +2.2911111831665039E+01	  +7.6000000000000000E+01	  +0.0000000000000000E+00	  +1.4024871261480430E+03	
  +6.3330000000000000E+03	  +2.2450000762939453E+01	  +7.7500000000000000E+01	  +0.0000000000000000E+00	  +7.3261191758605594E+02	
  +6.3340000000000000E+03	  +2.1950000762939453E+01	  +7.8500000000000000E+01	  +0.0000000000000000E+00	  +2.0298933259255071E+02	
  +6.3350000000000000E+03	  +2.1450000762939453E+01	  +7.9500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3360000000000000E+03	  +2.0987501144409180E+01	  +8.0500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3370000000000000E+03	  +2.0600000381469727E+01	  +8.1000000000000000E+01	  +0.0000000000000000E+00	  +3.8623585306342710E+02	
  +6.3380000000000000E+03	  +2.0199998855590820E+01	  +8.1500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3390000000000000E+03	  +1.9850000381469727E+01	  +8.3000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3400000000000000E+03	  +1.9500001907348633E+01	  +8.5000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
